restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",3.7,77,2000,No,Yes,Continental,Malleshwaram,Malleshwaram
Al-Hyatt,Quick Bites,,40,300,No,No,"Biryani, Chinese",Koramangala 6th Block,Ejipura
Ali Snacks Point,Quick Bites,3.4,5,150,Yes,No,"Chinese, Momos",Malleshwaram,Malleshwaram
Alibaba Cafe and Restaurant,Casual Dining,2.9,55,700,No,No,"Arabian, Middle Eastern",Kammanahalli,Kalyan Nagar
Alibi - Maya International Hotel,Casual Dining,1.8,224,1200,No,No,"North Indian, Continental, Chinese",Brigade Road,Church Street
AlienSip,Beverage Shop,3.6,11,200,Yes,No,Juices,Bannerghatta Road,BTM
Alif Restaurant,Casual Dining,3.6,26,600,Yes,No,"North Indian, Chinese",Bannerghatta Road,JP Nagar
Aligarh House,Delivery,4.4,98,400,Yes,No,"North Indian, Biryani, Awadhi, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala
Alikemom,"Takeaway, Delivery",2.8,40,300,Yes,No,North Indian,Electronic City,Electronic City
All Aromas,Quick Bites,2.8,40,400,Yes,No,"North Indian, Biryani",Basavanagudi,Jayanagar
All Saints Bakery,Bakery,3.6,23,200,No,No,Bakery,Brigade Road,Brigade Road
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,300,Yes,No,"Desserts, Beverages",Brookefield,Marathahalli
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,300,Yes,No,"Desserts, Beverages",Malleshwaram,Rajajinagar
Allahabadi Tadaka,Casual Dining,2.9,46,250,No,No,North Indian,Indiranagar,Domlur
Allana Kabab,Quick Bites,3.3,4,200,No,No,North Indian,Church Street,Richmond Road
Alloro - The Oterra,Fine Dining,4,63,2500,No,Yes,Italian,Electronic City,Electronic City
Al-Madina,"Takeaway, Delivery",3.3,8,500,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
Al-Madina Restaurant,Casual Dining,3.4,22,400,No,No,"Arabian, North Indian, Chinese, Kerala",Basavanagudi,City Market
Al-Marhaba Restaurant,Quick Bites,2.8,40,400,Yes,No,"Arabian, Chinese, North Indian, Rolls, Momos",Bannerghatta Road,BTM
Al-Noor Restaurant,Quick Bites,2.8,40,400,Yes,No,"Chinese, North Indian, Mughlai",Kalyan Nagar,Nagawara
Alpha - House of Biryani & Tandoor,Casual Dining,3.3,387,800,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Whitefield
Al-Sidique,Quick Bites,4,314,400,Yes,No,"North Indian, Chinese",Rajajinagar,Vijay Nagar
alt,"Bar, Lounge",4.1,821,1900,No,Yes,Finger Food,Whitefield,Whitefield
Altaf's Chillies Restaurant,Casual Dining,3.8,229,500,Yes,No,"North Indian, Chinese",Frazer Town,Frazer Town
Altaj Restaurant,Casual Dining,3.3,6,700,No,No,"North Indian, Chinese",Malleshwaram,Rajajinagar
Al-Taj Restaurant,Casual Dining,3.3,10,600,Yes,No,"South Indian, North Indian, Chinese",Rajajinagar,Rajajinagar
Alter Ego D'Deli,Cafe,3.8,140,650,Yes,No,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",Kalyan Nagar,Kalyan Nagar
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,4.3,263,3000,No,Yes,"Italian, Salad",Brookefield,Whitefield
AM WOW,Beverage Shop,3.4,6,100,Yes,No,Beverages,Banashankari,Jayanagar
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,2.8,40,500,No,No,Desserts,Brookefield,Whitefield
Amande Patisserie,Bakery,4,73,300,Yes,No,"Bakery, French, Desserts",Banashankari,Basavanagudi
Amanthrana Gardenia,Casual Dining,3.8,107,800,Yes,No,"North Indian, Andhra, BBQ, Seafood, Chinese",Brookefield,Brookefield
Amantrana,Casual Dining,3.2,15,800,No,No,"North Indian, South Indian",Rajajinagar,Magadi Road
Amar Kolkata,Quick Bites,3.2,4,300,No,No,"Bengali, North Indian, Chinese",Indiranagar,Old Airport Road
Amara Food Point,"Takeaway, Delivery",3.3,4,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
Amaravathi Bar & Restaurant,"Casual Dining, Bar",3.7,43,400,No,No,"North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Jayanagar
Amaravathi Mess,Quick Bites,3.6,108,400,Yes,No,"Andhra, Biryani",Electronic City,Electronic City
Amaravati,Quick Bites,3.6,39,400,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
Amaravati - Pure Veg Restaurant,Quick Bites,3.5,93,350,Yes,No,"South Indian, North Indian, Chinese",Marathahalli,Kaggadasapura
Amaravati Authentic Andhra Restaurant,Casual Dining,3,148,600,Yes,No,"Andhra, Chinese, North Indian, Biryani",Brookefield,Brookefield
Amaravati Food Court,Quick Bites,3.3,7,300,Yes,No,Kerala,Whitefield,Whitefield
Amaravati Grand,Casual Dining,3.3,7,550,No,No,"Chinese, Andhra, Mangalorean",Jayanagar,BTM
Amazing Blue Pub,Pub,3.4,10,900,No,No,Finger Food,Malleshwaram,Seshadripuram
Ambara Gardenia,Casual Dining,3.8,256,800,Yes,Yes,"Andhra, North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Bannerghatta Road
Ambarsaria,Casual Dining,2.7,57,800,No,No,North Indian,New BEL Road,New BEL Road
Amber Rush by The Pool,"Bar, Casual Dining",3.9,140,1500,No,No,"North Indian, Chinese, Continental",Brookefield,Marathahalli
Amber Rush Restobar,Pub,4.1,93,1000,No,Yes,"Continental, Chinese, Fast Food",Brigade Road,Residency Road
Ambika Biryani Corner,Quick Bites,3.5,37,300,No,No,Biryani,Rajajinagar,Rajajinagar
Ambika Vegetarian Hotel,Casual Dining,3.7,31,500,No,No,"North Indian, Fast Food",Malleshwaram,Rajajinagar
Ambujam's Chettinad Mess,"Quick Bites, Mess",3.2,27,400,Yes,No,"South Indian, Chettinad",Kammanahalli,Banaswadi
Ambur Azad Darbar,Quick Bites,3.1,6,250,No,No,"North Indian, Fast Food, Biryani",Jayanagar,BTM
Ambur Biriyani,Quick Bites,3.2,4,200,No,No,Biryani,Indiranagar,Old Airport Road
Ambur Biriyani Centre,Quick Bites,3.2,6,150,No,No,Biryani,Sarjapur Road,Bellandur
Ambur Biriyani Classic,Casual Dining,3.3,136,700,Yes,No,"Biryani, South Indian, North Indian",Electronic City,Electronic City
Ambur Biriyani Point,Quick Bites,3.6,26,150,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",BTM
Ambur Biriyani Zone,Quick Bites,3.2,4,200,No,No,"Biryani, Kebab",Kammanahalli,Kammanahalli
Ambur Biryani,Quick Bites,3.2,5,450,No,No,"South Indian, Fast Food",HSR,HSR
Ambur Biryani Hotel,Quick Bites,3.2,13,200,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Ambur Biryani Mess,Mess,3.4,18,250,No,No,Biryani,Koramangala 4th Block,Koramangala 6th Block
Ambur Biryani Point,Quick Bites,3.3,8,150,No,No,Biryani,Bellandur,Sarjapur Road
Ambur Chicken Biryani,Quick Bites,3.1,9,250,No,No,Biryani,HSR,HSR
Ambur Darbar Biriyani Point,Quick Bites,3.2,24,200,Yes,No,Biryani,Malleshwaram,Yeshwantpur
Ambur Dum Biriyani,Quick Bites,2.8,40,160,No,No,Biryani,Banashankari,Basavanagudi
Ambur Dum Biryani,Quick Bites,2.8,40,300,No,No,"Biryani, Fast Food",Electronic City,Electronic City
Ambur Hot Dum Biriyani,Quick Bites,3.1,6,200,No,No,Biryani,Old Airport Road,Jeevan Bhima Nagar
Ambur Hot Dum Biryani,Quick Bites,3,9,200,No,No,Biryani,Marathahalli,Thippasandra
Ambur Star Biryani,Quick Bites,3.5,22,200,No,No,Biryani,Bellandur,Sarjapur Road
Ambur Star Briyani,Casual Dining,3.6,17,500,Yes,No,"North Indian, Chinese, Biryani",Indiranagar,Indiranagar
Ambur Star Dum Biriyani,Quick Bites,3.2,4,200,No,No,Biryani,Residency Road,Wilson Garden
Ambur Star Dum Biryani,Quick Bites,2.8,40,250,No,No,Biryani,Bellandur,Sarjapur Road
Ambur Tasty Biriyani,Quick Bites,3.2,4,200,No,No,Biryani,HSR,HSR
Amchoor,Quick Bites,3.8,38,250,Yes,No,"North Indian, Beverages",Marathahalli,Marathahalli
Amdo's Corner Tibetan Foods,Quick Bites,4,47,250,No,No,"Tibetan, Momos",Brigade Road,Richmond Road
American Bites,Quick Bites,2.4,48,450,Yes,No,"Fast Food, Burger, Pizza",Frazer Town,Kalyan Nagar
American Desserts,"Takeaway, Delivery",3.6,23,500,Yes,No,"Desserts, Bakery",Kalyan Nagar,Banaswadi
Amexicano,Food Truck,3.8,31,400,No,No,"American, Mexican",Indiranagar,East Bangalore
Amigos Kitchen,Quick Bites,3.7,64,400,Yes,No,"Chinese, North Indian, Mexican, Fast Food",Kalyan Nagar,Banaswadi
Amjad Bhai's Star Hotel - Home Food Only,Quick Bites,2.8,40,300,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",BTM
Ammachide Addukala,Quick Bites,3.5,6,300,No,No,Kerala,Bannerghatta Road,Bannerghatta Road
Amma's Biryani & Rice,Quick Bites,2.8,40,300,Yes,No,"Biryani, Fast Food",Kalyan Nagar,Kammanahalli
Amma's Cafe,Quick Bites,3.2,6,300,No,No,Fast Food,HSR,HSR
Amma's Pastries,Bakery,3.9,130,400,No,No,Bakery,Kalyan Nagar,HBR Layout
Amma's Special,Quick Bites,,40,400,No,No,South Indian,Koramangala 6th Block,Koramangala 1st Block
Ammayi Thakkaram,Quick Bites,,40,400,No,No,"Kerala, South Indian",Koramangala 6th Block,BTM
Ammi's Biryani,Casual Dining,2.7,171,500,Yes,No,"Biryani, North Indian",Kalyan Nagar,Kalyan Nagar
Ammus Hot N Cool,Quick Bites,3.4,84,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
Amnesia - The Poolside Bar,"Casual Dining, Bar",3.7,15,2000,No,No,"North Indian, Chinese, Continental",Brigade Road,Residency Road
Amoeba Sports Bar,"Lounge, Bar",3.9,568,1000,Yes,Yes,"Continental, Chinese",Brookefield,Whitefield
Amontron,Casual Dining,3.9,435,650,Yes,No,Bengali,Bannerghatta Road,BTM
Amour Fine Patisserie,"Cafe, Dessert Parlor",4,82,500,Yes,Yes,"Cafe, Desserts, Continental",HSR,HSR
Amravathi Restaurants & Caterers,Quick Bites,3.1,6,400,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
Amrit,Food Court,3.4,24,600,No,No,"North Indian, Seafood","Byresandra,Tavarekere,Madiwala",JP Nagar
Amrita Nadia Sweets,Sweet Shop,3.2,4,400,Yes,No,Mithai,New BEL Road,Jalahalli
Amrith Ice Cream,Dessert Parlor,4.1,81,100,No,No,Ice Cream,Malleshwaram,Malleshwaram
Amritsari Kulcha Bite,Quick Bites,3.9,99,150,Yes,No,North Indian,Indiranagar,Ulsoor
Amritsari Kulcha Land,Quick Bites,4,260,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar
Amrut,Quick Bites,3.5,250,300,Yes,No,"North Indian, Chinese, Fast Food",Malleshwaram,Malleshwaram
Amruta,Casual Dining,3.8,20,600,No,No,"South Indian, North Indian, Chinese",Lavelle Road,Majestic
Amruth Parkland,"Bar, Casual Dining",3.5,54,900,No,No,"North Indian, Chinese",Sarjapur Road,Sarjapur Road
Amrutha Foods,Quick Bites,2.8,40,300,No,No,South Indian,Marathahalli,Old Airport Road
Amrutha Grand Restaurant,Casual Dining,3.2,204,500,Yes,No,"North Indian, Biryani, Chinese",Bellandur,Sarjapur Road
Amrutha Mess,Quick Bites,3.4,5,300,No,No,Kerala,"Byresandra,Tavarekere,Madiwala",BTM
Amrutha Sweets,Quick Bites,3.5,13,200,No,No,"Street Food, Mithai",Koramangala 4th Block,Ejipura
AM's Cafe Recreate,"Takeaway, Delivery",3.3,8,250,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM
Amul Ice Cream,Dessert Parlor,2.8,40,100,Yes,No,"Desserts, Ice Cream",HSR,HSR
An Egg Story,Cafe,4,241,600,No,No,"Cafe, Continental, American, Italian",Kalyan Nagar,Kalyan Nagar
Anamika Roll Centre,Quick Bites,3.2,4,300,No,No,"North Indian, Fast Food, Rolls",Jayanagar,Wilson Garden
Anand Donne Biriyani,Quick Bites,3.6,45,200,Yes,No,Biryani,Banashankari,Jayanagar
Anand Sagar Inn,Casual Dining,3.2,6,450,No,No,"South Indian, North Indian, Chinese",Jayanagar,Basavanagudi
Anand Sweets and Savouries,Quick Bites,4,99,400,Yes,No,"Mithai, Street Food",Kalyan Nagar,Kammanahalli
Anand Vihar,Quick Bites,2.5,58,,No,No,"North Indian, Chinese",Frazer Town,RT Nagar
Anda Ka Funda,Quick Bites,3.1,14,300,Yes,No,"North Indian, Chinese",JP Nagar,Jayanagar
Anda Special-Pav Bhaji,Quick Bites,3.4,8,200,Yes,No,Fast Food,New BEL Road,Yeshwantpur
Andal Mess,Mess,3.1,22,300,Yes,No,"Biryani, South Indian, North Indian",Koramangala 4th Block,Domlur
Ande Ka Funda,Quick Bites,2.8,60,250,No,No,"North Indian, Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",BTM
Andhra Amigos,Casual Dining,3.6,81,350,Yes,No,"Andhra, North Indian, Biryani",Electronic City,Electronic City
Andhra Bhojanam,Casual Dining,3.6,21,600,No,No,"North Indian, South Indian, Andhra",Bannerghatta Road,Bannerghatta Road
Andhra Biriyani Palace,Quick Bites,2.8,40,250,Yes,No,"Biryani, Andhra",Kalyan Nagar,Nagawara
Andhra Biryani & Curries,Quick Bites,3.1,4,400,Yes,No,"North Indian, South Indian, Chinese, Andhra, Biryani",Electronic City,Electronic City
Andhra Biryanis,Casual Dining,4,108,700,Yes,No,"Andhra, Biryani, North Indian",Brookefield,Whitefield
Andhra Box,Quick Bites,3.2,4,400,No,No,"Andhra, Biryani, Chinese",Brookefield,Marathahalli
Andhra Central,Food Court,3.1,13,400,Yes,No,Andhra,Brookefield,Marathahalli
Andhra Chettinad Cuisine,Quick Bites,3.6,24,250,No,No,"Andhra, South Indian, Chettinad",Electronic City,Electronic City
Andhra Express,"Takeaway, Delivery",3.7,19,300,Yes,No,"Andhra, Biryani, North Indian, Beverages",Marathahalli,CV Raman Nagar
Andhra Food Cafe (AFC),Quick Bites,3.3,46,250,Yes,No,"Andhra, North Indian, South Indian",Electronic City,Electronic City
Andhra Ghumaghumalu,Quick Bites,2.8,40,300,Yes,No,"Andhra, Biryani, North Indian",Brookefield,Whitefield
Andhra Grills,Casual Dining,3,55,800,No,No,"Andhra, North Indian, Biryani",Bannerghatta Road,JP Nagar
Andhra Kafe,Casual Dining,3.8,241,550,Yes,No,"Andhra, South Indian, North Indian, Biryani",Brookefield,Whitefield
Andhra Kitchen,Quick Bites,3.9,45,400,Yes,No,Andhra,Electronic City,Electronic City
Andhra Mess,Mess,2.8,17,400,Yes,No,"Andhra, Biryani, Chinese",Brookefield,Brookefield
Andhra Paris,Quick Bites,3.2,5,250,Yes,No,Andhra,Bellandur,Sarjapur Road
Andhra Ruchi's Restaurant,Delivery,3.1,72,500,Yes,No,"Andhra, North Indian, Biryani",Whitefield,Whitefield
Andhra Ruchulu,Casual Dining,4.2,1428,800,Yes,Yes,"Andhra, North Indian",Bannerghatta Road,JP Nagar
Andhra Spice,Casual Dining,2.8,40,600,No,No,"North Indian, Hyderabadi, Chinese, South Indian, Beverages, Desserts",Bellandur,Sarjapur Road
Andhra Spice Mess,Quick Bites,3.4,9,250,Yes,No,"Andhra, Biryani, North Indian, Chinese",New BEL Road,New BEL Road
Andhra Spices,Quick Bites,3.2,4,,No,No,"Andhra, Chinese, South Indian",Whitefield,Brookefield
Andhra Spicy,Quick Bites,3.5,11,400,No,No,"Andhra, Biryani",Bellandur,Bellandur
Andhra Spicy Food Court,Quick Bites,3.2,22,400,Yes,No,"Andhra, Biryani",Electronic City,Electronic City
Andhra Spicy Inn,Quick Bites,2.8,40,450,Yes,No,"North Indian, South Indian, Mughlai, Andhra, Biryani, Chinese",Kalyan Nagar,Nagawara
Andhra Star Biryani,Quick Bites,3.2,6,200,No,No,Biryani,Marathahalli,Brookefield
Andhra Vantakam,Casual Dining,3.9,317,800,Yes,No,"Andhra, Chinese, North Indian, Seafood",Malleshwaram,Rajajinagar
Andhra Vantillu,Quick Bites,3.3,4,350,No,No,"South Indian, North Indian",HSR,HSR
Andhra Vilaas,Quick Bites,3.7,52,350,Yes,No,"Andhra, North Indian, Biryani",Bellandur,Sarjapur Road
Andhra Vindu Multi Cuisine Restaurant,Casual Dining,3.3,11,600,Yes,No,"Andhra, South Indian, Fast Food",Brookefield,Marathahalli
Andy's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Cafe,3.1,12,300,No,No,"Cafe, Beverages, Fast Food",New BEL Road,New BEL Road
Angaar Biriyani,Quick Bites,3.7,92,400,Yes,No,"Biryani, Chinese, Fast Food",Whitefield,Whitefield
Angaar Indian Grill & Restaurant,Casual Dining,3.9,121,600,No,No,"Arabian, Mughlai, North Indian, Chinese, Rolls",Kalyan Nagar,HBR Layout
Angel Mess,Quick Bites,3.5,17,200,No,No,South Indian,Marathahalli,Kaggadasapura
Angel Mutton Leg Soup,Quick Bites,3.5,22,200,No,No,South Indian,Indiranagar,Jeevan Bhima Nagar
Angel Restaurant,Quick Bites,2.8,165,450,Yes,No,"Kerala, South Indian, North Indian",Bannerghatta Road,Bannerghatta Road
Angel's Kitchen,Quick Bites,3.5,10,300,No,No,Kerala,Whitefield,Whitefield
Angiie's Cafe,Quick Bites,3.7,29,450,Yes,No,"Burger, Fast Food",Bellandur,Sarjapur Road
Anika's India Kitchen,Delivery,3.3,5,250,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",HSR
Aniram's,Delivery,4.1,739,500,Yes,No,"Chinese, North Indian",Bannerghatta Road,JP Nagar
Anjappaar,Casual Dining,3.9,96,650,No,No,"Chettinad, South Indian",Marathahalli,Marathahalli
Anjappar,Casual Dining,2.7,40,650,No,No,"Chettinad, South Indian",Jayanagar,JP Nagar
Anju's Cafe,Cafe,3.4,6,600,No,No,"Cafe, North Indian",Bannerghatta Road,JP Nagar
Anna Kuteera,Casual Dining,3.8,62,400,No,No,"South Indian, North Indian, Chinese",Residency Road,St. Marks Road
Annabell,"Quick Bites, Beverage Shop",4,264,700,Yes,No,"Continental, Beverages",Indiranagar,Indiranagar
Annalakshmi,Casual Dining,3.5,28,700,No,No,"Andhra, Chettinad",Bellandur,Bellandur
Annapoorani,Casual Dining,3.9,434,400,No,No,South Indian,Indiranagar,Indiranagar
Annapoorni Grand,Casual Dining,3.9,82,450,No,No,"Chinese, South Indian, North Indian",Lavelle Road,Majestic
Annappa's Naati Mane,Quick Bites,3.5,73,400,No,No,"South Indian, Chinese",Rajajinagar,Rajajinagar
Annapurna Andhra Hotel,Quick Bites,3.3,5,400,Yes,No,"Mughlai, Chinese, North Indian",Electronic City,Electronic City
Annapurna Bengali Restaurant,Casual Dining,3.9,50,500,No,No,Bengali,Brookefield,Whitefield
Annapurna Benne Dose,Quick Bites,2.8,40,200,Yes,No,South Indian,JP Nagar,JP Nagar
Annapurna Foods,Casual Dining,3.5,11,400,Yes,No,"North Indian, Chinese, Hyderabadi",Bellandur,Bellandur
Antarastriya,Quick Bites,3.9,461,200,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Malleshwaram
ANTIGRAVITY,"Pub, Casual Dining",4.4,730,1500,No,Yes,"Continental, North Indian, Chinese, BBQ",Marathahalli,Marathahalli
Antilla Aromas,Dessert Parlor,3.7,18,300,Yes,No,"Desserts, Ice Cream",Bannerghatta Road,Bannerghatta Road
Anu Momos Chinese Kitchen,Quick Bites,3.7,118,450,Yes,No,"Chinese, Thai, Momos",Kalyan Nagar,Kammanahalli
Anupam's Coast II Coast,Casual Dining,4.1,841,700,Yes,No,"Seafood, Mangalorean, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block
Anupam's Coastal Express,Casual Dining,4.1,179,600,Yes,No,"Seafood, Mangalorean, South Indian",Basavanagudi,Shanti Nagar
Anushka Restaurant,Casual Dining,2.8,40,550,Yes,No,"North Indian, Chinese",Brookefield,Whitefield
Apna Hotel,Quick Bites,3.5,26,300,Yes,No,"North Indian, Hyderabadi",Brookefield,Whitefield
Apna Punjab,Quick Bites,3.6,474,450,Yes,No,"North Indian, Chinese, Fast Food",Bannerghatta Road,BTM
Apna Veg Dhaba,Casual Dining,3.1,35,400,Yes,No,"North Indian, Chinese",Bellandur,Bellandur
Apoorva Multi Cuisine Restaurant,Casual Dining,3.9,236,750,Yes,No,"North Indian, South Indian, Chinese, Andhra, Biryani",Brookefield,Brookefield
Appam & Curry,Quick Bites,3.8,18,200,Yes,No,"Kerala, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
Appam Centre,Quick Bites,3.2,4,200,No,No,Kerala,Bannerghatta Road,JP Nagar
Appana Restaurant,Quick Bites,2.8,40,300,Yes,No,North Indian,Bannerghatta Road,BTM
Appetite Workstation,Quick Bites,3.6,16,500,Yes,No,"North Indian, Chinese, Biryani",Bellandur,Sarjapur Road
Apple Cafe,Quick Bites,3.3,14,300,No,No,"Beverages, Fast Food",Marathahalli,Marathahalli
Apsara Ice Cream,Dessert Parlor,3.2,4,200,No,No,"Ice Cream, Desserts",Brookefield,Whitefield
AQNI,Casual Dining,3.6,89,650,Yes,No,"North Indian, Mughlai, Biryani, Rolls",Malleshwaram,New BEL Road
Aqua - The Park Bangalore,"Lounge, Bar",4,195,3000,No,Yes,"North Indian, Mediterranean, Chinese",Church Street,MG Road
Arabian Bites,Quick Bites,3.4,24,300,Yes,No,"North Indian, Chinese",Basavanagudi,BTM
Arabian Mataam,Quick Bites,3.7,19,500,No,No,"Biryani, Arabian",Frazer Town,Frazer Town
Arabian Mexico,Quick Bites,3.3,53,400,Yes,No,"Fast Food, Arabian",JP Nagar,Bannerghatta Road
Arabian Shawarma,Kiosk,3.7,30,150,Yes,No,Arabian,Frazer Town,Kammanahalli
Arafa Juice Center,Quick Bites,3.5,10,250,No,No,"Juices, Desserts, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
Aramane Brundavan,Casual Dining,3.3,4,450,Yes,No,"Chinese, North Indian, South Indian, Fast Food",Malleshwaram,Rajajinagar
Aramane Donne Biriyani,Quick Bites,3.9,189,300,Yes,No,"Biryani, Fast Food",Bannerghatta Road,BTM
Aramane Donne Biryani,Quick Bites,2.8,40,300,Yes,No,"Biryani, Fast Food",JP Nagar,JP Nagar
Aramane Donne Briyani,Quick Bites,3.9,339,300,Yes,No,"Biryani, Fast Food",Jayanagar,JP Nagar
Aramane Restaurant,Casual Dining,2.9,90,800,Yes,Yes,"North Indian, South Indian, Seafood, Biryani, Chinese",Bannerghatta Road,Bannerghatta Road
Arbor Brewing Company,"Pub, Microbrewery",4.5,8375,2000,No,Yes,"American, Continental, Salad",Brigade Road,Brigade Road
Archana's First Crush,Bakery,3.7,31,400,Yes,No,"Bakery, Desserts",Bellandur,Sarjapur Road
Arena - Artisanal Brewkitchen,"Pub, Casual Dining",4.1,177,2000,No,Yes,"Sushi, Continental, Pizza, Italian, Asian",Indiranagar,Indiranagar
Arina's,Quick Bites,3.3,5,250,No,No,"Fast Food, Chinese",Church Street,Frazer Town
Arirang Korean Restaurant,Casual Dining,4,237,1400,No,Yes,Korean,Kalyan Nagar,Kammanahalli
Armaani Caffe,Quick Bites,3.5,12,250,Yes,No,Fast Food,Bannerghatta Road,BTM
Arogya,Quick Bites,3.4,9,100,No,No,"South Indian, North Indian, Chinese",HSR,HSR
Arogya Thaana,Beverage Shop,3.8,72,200,Yes,No,"Beverages, Sandwich",Whitefield,Whitefield
Aroma Fine Dine,Casual Dining,4,126,900,Yes,Yes,"North Indian, Mughlai, Chinese, South Indian",Koramangala 4th Block,HSR
Aroma Of Asia,Quick Bites,3.9,49,400,No,No,"Chinese, Momos",MG Road,Frazer Town
Aroma Spice,Casual Dining,3.7,83,800,Yes,Yes,"Andhra, Chinese, North Indian, Seafood",Kalyan Nagar,Kalyan Nagar
